pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,glat,glon
Kepler-1811 b,Kepler-1811,1,1,0,Transit,2021,Kepler,0.346200,3.848,14.10000,1.19,0.95,0.154,12.10156,72.05562
Kepler-1812 b,Kepler-1812,1,1,0,Transit,2021,Kepler,0.076500,2.325,6.01000,1.10,1.16,0.280,6.69180,75.10403
Kepler-1813 b,Kepler-1813,1,1,0,Transit,2021,Kepler,0.036400,1.413,2.58000,0.79,0.81,-0.400,14.20995,80.53671
Kepler-1814 b,Kepler-1814,1,2,0,Transit,2021,Kepler,0.037100,2.370,6.21000,0.82,0.79,-0.506,15.86299,71.62046
Kepler-1814 c,Kepler-1814,1,2,0,Transit,2023,Kepler,0.013300,1.760,3.75000,0.82,0.79,-0.506,15.86299,71.62046
Kepler-1815 b,Kepler-1815,1,1,0,Transit,2021,Kepler,0.098400,2.749,7.99000,0.97,0.86,-0.030,7.24545,79.10674
Kepler-1816 b,Kepler-1816,1,1,0,Transit,2021,Kepler,0.364800,1.968,4.53000,0.71,0.79,-0.531,12.50696,83.91538
Kepler-1817 b,Kepler-1817,1,1,0,Transit,2021,Kepler,0.234800,2.273,5.79000,0.92,0.88,-0.380,19.18590,73.87137
Kepler-1818 b,Kepler-1818,1,1,0,Transit,2021,Kepler,0.055000,1.714,3.58000,1.13,1.02,0.261,16.21383,70.66885
Kepler-1819 b,Kepler-1819,1,1,0,Transit,2021,Kepler,0.133700,3.904,14.50000,1.07,1.17,0.086,10.86924,80.36156
Kepler-182 b,Kepler-182,1,2,0,Transit,2014,Kepler,0.096000,2.580,7.18000,1.15,1.16,0.344,16.48159,81.84308
Kepler-182 c,Kepler-182,1,2,0,Transit,2014,Kepler,0.157000,3.430,11.60000,1.15,1.16,0.344,16.48159,81.84308
Kepler-1820 b,Kepler-1820,1,1,0,Transit,2021,Kepler,0.196400,3.119,9.90000,0.93,1.05,-0.022,11.44772,81.68178
Kepler-1821 b,Kepler-1821,1,1,0,Transit,2021,Kepler,0.124400,2.592,7.24000,0.88,0.95,-0.124,13.45418,82.46656
