CoRoT-9 b,Transit,2009,CoRoT,0.402100,11.949,266.97720,4.66217,37.52335,98,119
CoRoTID 223977153 b,Transit,2017,CoRoT,0.071000,6.389,47.67450,1.86373,203.48237,99,120
DE CVn b,Eclipse Timing Variations,2018,Multiple Facilities,5.750000,12.400,3823.27330,70.27803,104.28761,100,121
DENIS-P J082303.1-491201 b,Astrometry,2013,Paranal Observatory,0.360000,11.900,9057.77000,-6.82669,265.61638,101,122
DH Tau b,Imaging,2004,Subaru Telescope,330.000000,30.264,3496.00000,-14.93888,171.89958,102,123
DMPP-1 b,Radial Velocity,2019,La Silla Observatory,0.146200,5.290,24.27000,-19.05301,215.35863,103,124
DMPP-1 c,Radial Velocity,2019,La Silla Observatory,0.073300,3.060,9.60000,-19.05301,215.35863,103,125
DMPP-1 d,Radial Velocity,2019,La Silla Observatory,0.042200,1.650,3.35000,-19.05301,215.35863,103,126
DMPP-1 e,Radial Velocity,2019,La Silla Observatory,0.065100,1.860,4.13000,-19.05301,215.35863,103,127
DMPP-2 b,Radial Velocity,2019,Multiple Facilities,0.066400,14.300,138.89171,-75.53420,246.92255,104,128
DMPP-3 A b,Radial Velocity,2019,La Silla Observatory,0.066200,1.410,2.58000,-29.14463,283.20965,105,129
DMPP-4 b,Radial Velocity,2023,Multiple Observatories,0.048530,3.530,12.20000,14.58774,83.46183,106,130
DP Leo b,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,8.190000,12.700,1995.88832,66.45634,230.89636,107,131
DS Tuc A b,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),,5.700,413.17900,-46.63356,312.10146,108,132
EPIC 201170410.02,Transit,2020,K2,0.034900,1.047,1.15000,51.24569,264.99528,109,133
EPIC 201238110 b,Transit,2019,K2,,1.870,4.16000,56.94662,278.31843,110,134
EPIC 201427007 b,Transit,2021,K2,,1.500,2.86000,61.20318,285.58634,111,135
EPIC 201497682 b,Transit,2019,K2,,0.692,0.26000,54.82399,258.19387,112,136
EPIC 201595106 b,Transit,2021,K2,,1.300,2.24000,63.35883,282.19917,113,137
EPIC 201615463 c,Transit,2019,K2,,1.220,1.98000,64.09010,285.15815,114,138
EPIC 201754305 d,Transit,2019,K2,,1.030,1.08000,61.77713,262.91176,115,139
EPIC 201757695.02,Transit,2020,K2,0.029600,0.908,0.68800,61.14782,260.88050,116,140
EPIC 201833600 c,Transit,2019,K2,,1.000,0.97200,59.32248,252.27127,117,141
EPIC 201841433 b,Transit,2019,K2,0.035000,1.040,1.12000,63.11979,261.10589,118,142
EPIC 205950854 c,Transit,2019,K2,,1.310,2.27000,-51.71337,40.91076,119,143
EPIC 206024342 b,Transit,2019,K2,,1.700,3.53000,-49.18710,42.94366,120,144
EPIC 206024342 c,Transit,2021,K2,,1.400,2.54000,-49.18710,42.94366,120,145
EPIC 206024342 d,Transit,2021,K2,,2.600,7.27000,-49.18710,42.94366,120,146
EPIC 206032309 b,Transit,2019,K2,,1.010,1.01000,-57.69594,50.70238,121,147
EPIC 206042996 b,Transit,2019,K2,,1.700,3.53000,-54.37586,48.06541,122,148
EPIC 206042996 c,Transit,2021,K2,,1.200,1.87000,-54.37586,48.06541,122,149
EPIC 206215704 b,Transit,2019,K2,,1.000,0.97200,-50.28505,51.97463,123,150
EPIC 206317286 b,Transit,2019,K2,,0.960,0.84000,-51.54478,56.17023,124,151
EPIC 206317286 c,Transit,2022,K2,,2.094,5.03000,-51.54478,56.17023,124,152
EPIC 211822797 b,Transit,2016,K2,0.119500,1.920,4.35000,32.03739,208.28299,125,153
EPIC 211945201 b,Transit,2018,K2,0.149300,5.760,27.00000,38.12775,208.78206,126,154
EPIC 212297394 b,Transit,2019,K2,,1.480,2.79000,43.14733,321.81920,127,155
EPIC 212297394 c,Transit,2016,K2,,2.270,5.77000,43.14733,321.81920,127,156
EPIC 212424622 b,Transit,2019,K2,,2.170,5.35000,47.50561,316.58254,128,157
EPIC 212499991 b,Transit,2019,K2,,1.600,3.19000,49.05579,317.34866,129,158
EPIC 212587672 b,Transit,2019,K2,,1.260,2.13000,50.09504,322.41694,130,159
EPIC 212587672 c,Transit,2016,K2,,2.320,5.99000,50.09504,322.41694,130,160
EPIC 212624936 b,Transit,2021,K2,,1.200,1.87000,49.04154,330.23401,131,161
EPIC 212624936 c,Transit,2021,K2,,2.300,5.90000,49.04154,330.23401,131,162
EPIC 212737443 b,Transit,2019,K2,0.098000,2.586,7.20000,53.83847,322.27085,132,163
EPIC 212737443 c,Transit,2019,K2,0.280000,2.690,7.70000,53.83847,322.27085,132,164
EPIC 220492298 b,Transit,2021,K2,,0.990,0.93700,-56.07199,129.88845,133,165
